"identif" "eta92c" "eta95c" "persist"
2368 19 NA NA
2369 4 7 "0"
2371 14 NA "0"
2375 17 NA "0"
2376 NA NA "0"
2377 NA 10 NA
2380 10 NA "0"
2381 2 5 "0"
2383 13 NA "0"
2384 7 10 "0"
2387 NA 29 "0"
2390 NA 16 "0"
2391 13 16 "0"
2392 14 NA "0"
2394 NA 39 "0"
2402 4 NA "0"
2406 NA 15 "0"
2416 NA 10 "0"
2419 6 9 "0"
2424 7 NA "0"
2425 4 NA "0"
2426 NA 13 "0"
2427 NA 43 "0"
2430 6 NA "0"
2431 2 NA "0"
2435 NA 6 "0"
2436 NA 10 "0"
2439 68 71 "0"
2440 NA 35 "0"
2443 NA NA "0"
2444 19 22 "0"
2452 7 NA "0"
2457 2 NA "0"
2462 14 NA NA
2463 6 NA "0"
2466 5 NA "0"
2477 12 15 "0"
2478 NA 15 "0"
2480 19 NA "0"
2482 22 NA "0"
2486 NA 106 NA
2495 NA 14 "0"
2496 8 NA "0"
2497 NA 22 "0"
2498 NA 12 "0"
2499 NA 19 "0"
2508 19 NA "0"
2510 5 NA "0"
2513 23 NA NA
2516 24 27 "0"
2517 10 NA NA
2518 NA NA "0"
2521 14 17 "0"
2522 12 15 "0"
2533 3 6 "0"
2535 NA 23 "0"
2536 NA 31 "0"
2538 19 22 "1"
2541 NA 16 "0"
2542 NA 15 "0"
2543 NA 12 "0"
2544 NA 9 "0"
2548 NA 5 "0"
2550 2 NA "0"
2554 45 NA "0"
2555 NA 21 "0"
2556 NA 7 "0"
2557 10 NA "0"
2559 NA 18 "0"
2561 NA 16 "0"
2562 10 NA "0"
2563 NA 15 "0"
2567 12 15 "0"
2568 23 NA "0"
2571 12 NA NA
2572 NA 30 "0"
2573 72 75 "0"
2579 NA 31 "0"
2584 NA 17 "0"
2585 NA 19 "0"
2588 NA 6 "0"
2590 27 30 "0"
2591 NA 25 "0"
2592 10 NA "0"
2596 19 NA "0"
2597 NA 15 "0"
2602 NA 33 "0"
2605 NA 23 "0"
2606 NA 15 "0"
2607 4 7 "0"
2608 135 NA "0"
2615 21 24 "0"
2616 NA 27 "0"
2617 NA 21 "0"
2618 21 NA "0"
2619 NA 10 "0"
2620 NA 5 "0"
2621 15 NA "0"
2622 NA 30 "0"
2624 28 31 "0"
2627 NA 17 "0"
