"identif" "d17_1" "d17_2" "d17_3" "d17_4" "d17_5" "dip89" "dip90" "dip91" "eta92" "isgru" "anno" "aco" "aim" "sales" "util" "utiln" "of" "imim" "imte" "ind92" "nonotten" "avrebacc" "dip92" "dip93" "dip94" "eta95" "ind95" "dip95" "dip96" "dip97" "eta98" "desi" "chie" "paga" "eta98n" "ind98" "dip98" "dip99" "dip00" "eta01" "eta01n" "ind01" "razd" "raz01d" "duacq" "dusco" "dupav1" "dupav2" "dupav3" "dupav4" "roa" "ofut" "quoimm" "lsales" "pofut" "duofut" "pquoimm" "dimm" "desi01" "persist" "perdesi"
41100083 NA NA NA NA NA NA NA NA NA 1 "1998-01-01" 9836.43810005836 7295.98661343718 19494.1821130318 476.689717859597 -201.418190644899 678.107908504496 1089.72405707882 5741.45134717782 NA NA NA NA NA NA NA NA NA NA NA NA 0 2 NA NA NA 253 261 286 31 31 1 0 0 0 0 0 0 1 0 0.0278238326349743 1.4225352112676 0.335121936514635 9.87787134685782 0.682926829268293 1 0.0995614662892028 0 0 0 0
41100083 NA NA NA NA NA NA NA NA NA 1 "1999-01-01" 9220.3050194446 6721.17008475058 23316.479623193 467.393493675984 -50.6127761107712 518.006269786755 793.794253900541 5747.13237306781 NA NA NA NA NA NA NA NA NA NA NA NA 0 2 NA NA NA 253 261 286 31 31 1 0 0 0 0 0 0 1 0 0.0293193378041273 1.10828729281768 0.360514465286552 10.0569156695146 0.598704696626315 1 0.100247520197656 0 0 0 0
41100083 NA NA NA NA NA NA NA NA NA 1 "2000-01-01" 9693 6593 25491 1344 1051 293 777 5695 NA NA NA NA NA NA NA NA NA NA NA NA 0 2 NA NA NA 253 261 286 31 31 1 0 0 0 0 0 0 1 0 0.0825248679847722 0.218005952380952 0.349686847599165 10.1460807276717 0.632456223065049 0 0.100114425048501 0 0 0 0
41370397 NA NA NA NA NA NA NA NA NA 1 "2000-01-01" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 2 NA NA NA 18 19 19 42 NA 1 0 0 1 0 1 0 0 0 NA NA NA NA 0.632456223065049 NA 0.100114425048501 NA 0 0 0
41580300 NA NA NA NA NA NA NA NA NA 0 "1998-01-01" 1528 1142 2928 99 83 16 0 948 NA NA NA NA NA NA NA NA NA NA NA NA 0 2 NA NA NA 27 28 25 33 33 1 0 0 0 0 1 0 0 0 0.0370786516853933 0.161616161616162 0.355056179775281 7.9820748750812 0.682926829268293 0 0.0995614662892028 0 0 0 0
41580300 NA NA NA NA NA NA NA NA NA 0 "1999-01-01" 2277 1603 3585 243 216 27 0 1426 NA NA NA NA NA NA NA NA NA NA NA NA 0 2 NA NA NA 27 28 25 33 33 1 0 0 0 0 1 0 0 0 0.0626288659793814 0.111111111111111 0.367525773195876 8.18451375303372 0.598704696626315 0 0.100247520197656 0 0 0 0
41580300 NA NA NA NA NA NA NA NA NA 0 "2000-01-01" 2257 1228 3768 140 95 45 0 705 NA NA NA NA NA NA NA NA NA NA NA NA 0 2 NA NA NA 27 28 25 33 33 1 0 0 0 0 1 0 0 0 0.0401721664275466 0.321428571428571 0.202295552367288 8.23429963569625 0.632456223065049 0 0.100114425048501 0 0 0 0
42010307 NA NA NA NA NA NA NA NA NA 0 "1998-01-01" 5230.15901707923 459.646640189643 9060.71983762595 1653.69499088454 1634.58608561823 19.108905266311 13.4278793763266 353.256518977209 NA NA NA NA NA NA NA NA NA NA NA NA 1 2 1 NA NA 64 67 73 41 41 1 0 0 0 0 0 0 1 0 0.290641735499682 0.0115552779512804 0.0620858672959971 9.11170384815746 0.682926829268293 0 0.0995614662892028 1 1 0 0
42010307 NA NA NA NA NA NA NA NA NA 0 "1999-01-01" 5811.1730285549 1246.21049750293 8918.17773347725 895.01980612208 877.976728452127 17.0430776699531 10.8455948808792 1058.73664313345 NA NA NA NA NA NA NA NA NA NA NA NA 1 2 1 NA NA 64 67 73 41 41 1 0 0 0 0 0 0 1 0 0.126820343944383 0.0190421234852856 0.150018294914014 9.0958469147351 0.598704696626315 0 0.100247520197656 0 1 0 0
42010307 NA NA NA NA NA NA NA NA NA 0 "2000-01-01" 7232 1997 10370 906 902 4 23 1762 NA NA NA NA NA NA NA NA NA NA NA NA 1 2 1 NA NA 64 67 73 41 41 1 0 0 0 0 0 0 1 0 0.0981688156896739 0.00441501103752759 0.190919926319211 9.24667230122357 0.632456223065049 0 0.100114425048501 0 1 0 0
42150962 NA NA NA NA NA NA NA NA NA 0 "1998-01-01" 2980.98922154452 3036.76656664618 3117.85029980323 65.0735692852754 -13.4278793763265 78.5014486616019 14.4607931745056 2839.99648809309 NA NA NA NA NA NA NA NA NA NA NA NA 0 2 NA NA NA 17 17 18 44 44 1 0 0 0 0 1 0 0 0 0.0108135942327498 1.2063492063492 0.471936148300721 8.04489903685616 0.682926829268293 1 0.0995614662892028 0 0 0 0
42150962 NA NA NA NA NA NA NA NA NA 0 "1999-01-01" 3663.74524214082 3489.18281024857 2231.61026096567 55.777345101664 -45.9646640189648 101.742009120629 11.3620517799687 3330.6305422281 NA NA NA NA NA NA NA NA NA NA NA NA 0 2 NA NA NA 17 17 18 44 44 1 0 0 0 0 1 0 0 0 0.00779783393501798 1.82407407407409 0.465631768953069 7.71047869399166 0.598704696626315 1 0.100247520197656 0 0 0 0
42150962 NA NA NA NA NA NA NA NA NA 0 "2000-01-01" 3728.45312585538 3500.46496821208 2166.56290496677 120.753174918787 -5.85202115407459 126.605196072862 9.29622418361076 3348.92818460235 NA NA NA NA NA NA NA NA NA NA NA NA 0 2 NA NA NA 17 17 18 44 44 1 0 0 0 0 1 0 0 0 0.0167041835787136 1.04846266906034 0.463268243051572 7.68089727605352 0.632456223065049 1 0.100114425048501 0 0 0 0
42390303 NA NA NA NA NA NA NA NA NA 0 "1998-01-01" 4341.85315064531 1822.5763968868 6334.86032423164 669.844598119064 568.102588998435 101.742009120629 0.516456899089486 1783.325672556 NA NA NA NA NA NA NA NA NA NA NA NA 1 2 2 NA NA 49 49 50 32 NA 1 0 0 0 0 1 0 0 0 0.108662868632708 0.151888974556669 0.289292895442359 8.75382304424566 0.682926829268293 0 0.0995614662892028 0 1 0 1
42390303 NA NA NA NA NA NA NA NA NA 0 "1999-01-01" 3737.59857871061 1529.22887820397 5477.54187174309 173.529518094068 138.926905855072 34.6026122389956 4.64811209180538 1485.84649868045 NA NA NA NA NA NA NA NA NA NA NA NA 1 2 2 NA NA 49 49 50 32 NA 1 0 0 0 0 1 0 0 0 0.0329476367915278 0.199404761904762 0.282114140027456 8.60841171575681 0.598704696626315 0 0.100247520197656 0 1 0 1
