"identif" "eta98c" "eta01c" "persist" "perdesi"
"566" 133350364 NA NA 0 0
"568" 133740366 NA NA 0 0
"569" 133950478 NA NA 0 0
"571" 134190379 NA NA 0 0
"573" 134290361 NA NA 0 0
"574" 134710475 NA NA 0 0
"576" 134940445 NA NA 0 0
"577" 135300367 31 34 0 0
"578" 135430883 NA NA 0 0
"579" 135500362 NA NA 0 0
"580" 135750363 NA NA 0 0
"583" 136590412 9 12 0 0
"584" 136640491 NA NA 0 0
"585" 136840164 NA NA 0 0
"586" 136870418 37 40 0 0
"587" 136890416 46 49 0 0
"589" 137260841 NA NA 0 0
"590" 137580412 25 28 0 0
"591" 137650041 41 44 0 0
"592" 137660312 NA NA 0 0
"593" 137710217 NA NA 0 0
"594" 137770476 NA NA 0 0
"595" 137900172 NA NA 0 0
"596" 138170478 30 33 0 0
"597" 138260535 23 26 0 0
"598" 138370946 NA NA 0 0
"599" 138630216 NA NA 0 0
"600" 139070578 NA NA 0 0
"601" 139200415 NA NA 0 0
"602" 139450059 NA NA 0 0
"603" 139620414 NA NA 0 0
"604" 140300410 27 30 0 0
"605" 140420440 NA NA 0 0
"606" 140540841 25 28 0 0
"607" 140710360 NA NA 0 0
"608" 140850893 NA NA 0 0
"609" 140970394 NA NA 0 0
"610" 141000936 49 52 0 0
"612" 141180886 NA NA 0 0
"613" 141220476 NA NA 0 0
"614" 141240474 NA NA 0 0
"615" 141510413 NA NA 0 0
"616" 141570938 NA NA 0 0
"617" 141600362 NA NA 0 0
"618" 141780214 37 40 0 0
"619" 142040212 NA NA 0 0
"620" 142060368 NA NA 0 0
"621" 142150209 31 34 0 0
"622" 142160838 NA NA 0 0
"623" 142170249 NA NA 0 0
"625" 142410936 NA NA 0 0
"626" 142430470 26 29 0 0
"627" 142500363 NA NA 0 0
"628" 142750471 38 41 0 0
"629" 142800251 NA NA 0 0
"630" 142840257 NA NA 0 0
"631" 142960359 28 31 0 0
"632" 142990458 28 31 0 0
"633" 143150366 51 54 0 0
"634" 143520360 26 29 0 0
"635" 143540418 NA NA 0 0
"636" 143580471 NA NA 0 0
"637" 143580479 29 32 0 0
"638" 143610476 NA NA 0 0
"639" 143640250 NA NA 0 0
"640" 143640366 40 43 0 0
"641" 143770361 38 41 0 0
"642" 143970524 NA NA 0 0
"643" 144120929 29 32 0 0
"644" 144240258 NA NA 0 0
"645" 144360360 58 61 0 0
"646" 144370253 42 45 0 0
"647" 144390938 NA NA 0 0
"648" 144530764 NA NA 0 0
"649" 144740759 NA NA 0 0
"650" 144760361 51 54 0 0
"651" 144830519 NA NA 0 0
"652" 144900470 NA NA 0 0
"653" 144910933 NA NA 0 0
"654" 144950517 NA NA 0 0
"655" 144990422 NA NA 0 0
"656" 145030929 NA NA 0 0
"657" 145290351 34 37 0 0
"658" 145290368 108 111 0 0
"659" 145430477 NA NA 0 0
"660" 145510930 NA NA 0 0
"661" 145580256 NA NA 0 0
"663" 145630365 39 42 0 0
"664" 145740469 NA NA 0 0
"666" 145880250 NA NA 0 0
"667" 145890249 NA NA 0 0
"668" 145910361 29 32 0 0
"669" 145930930 35 38 0 0
"670" 146180254 44 47 0 0
"671" 146210358 NA NA 0 0
"672" 146360434 NA NA 0 0
"673" 146510252 NA NA 0 0
"675" 146700035 50 53 0 0
"676" 146940829 NA NA 0 0
"678" 147280367 43 46 0 0
"679" 147320354 NA NA 0 0
"680" 147480520 NA NA 0 0
"681" 147530457 NA NA 0 0
"682" 147570072 NA NA 0 0
"683" 147600077 37 40 0 0
"684" 147650552 NA NA 0 0
"685" 147790522 24 27 0 0
"686" 148330526 NA NA 0 0
"687" 148570477 25 28 0 0
"688" 148630073 NA NA 0 0
"689" 148820526 NA NA 0 0
"690" 148890256 NA NA 0 0
"691" 148940249 NA NA 0 0
"692" 148950357 75 78 0 0
"693" 149270451 NA NA 0 0
"695" 149660038 NA NA 0 0
"696" 149750251 51 54 0 0
"697" 150030030 NA NA 0 0
"700" 150720523 NA NA 0 0
"701" 150770718 22 25 0 0
"703" 150970516 NA NA 0 0
"706" 151080216 NA NA 0 0
"707" 151100212 47 50 0 0
"709" 151190213 NA NA 0 0
"710" 151230761 NA NA 0 0
"711" 151240315 NA NA 0 0
"712" 151730216 73 76 0 0
"714" 151910256 NA NA 0 0
"715" 151920213 27 30 0 0
"717" 152090214 31 34 0 0
"718" 152100352 NA NA 0 0
"719" 152300629 NA NA 0 0
"720" 152600764 NA NA 0 0
"722" 152740214 39 42 0 0
"723" 152760212 NA NA 0 0
"724" 152810215 NA NA 0 0
"725" 152810257 NA NA 0 0
"726" 152820256 NA NA 0 0
"727" 152920254 NA NA 0 0
"730" 153020038 NA NA 0 0
"731" 153070785 NA NA 0 0
"734" 153340353 33 36 0 0
"735" 153380077 NA NA 0 0
"738" 153860375 NA NA 0 0
"739" 154080213 NA NA 0 0
"740" 154130216 NA NA 0 0
"741" 154290218 36 39 0 0
"742" 154350210 38 41 0 0
"744" 154730445 NA NA 0 0
"745" 154750310 NA NA 0 0
"746" 154800602 24 27 0 0
"747" 155180351 NA NA 0 0
"749" 155440218 NA NA 0 0
"750" 155640445 23 26 0 1
"751" 155660377 NA NA 0 0
"753" 155920209 NA NA 0 0
"754" 156100787 17 20 0 0
"755" 156130214 NA NA 0 0
"756" 156160352 NA NA 0 0
"757" 156420037 NA NA 0 0
"758" 156850217 29 32 0 0
"759" 156970072 36 39 0 0
"760" 157070310 NA NA 0 0
"761" 157130648 NA NA 0 0
"762" 157340317 NA NA 0 0
"763" 157640451 26 29 0 0
"764" 157900615 NA NA 0 0
"765" 158010216 NA NA 0 0
"766" 158220302 NA NA 0 0
"767" 159180372 NA NA 0 0
"768" 159560375 NA NA 0 0
"769" 159650838 NA NA 0 0
"770" 159690370 NA NA 0 0
"771" 159930867 20 23 0 0
"772" 160000258 NA NA 0 0
"773" 160380078 46 49 0 0
"774" 160400257 NA NA 0 0
"775" 160430254 NA NA 0 0
"776" 160462218 NA NA 0 0
"777" 160560372 NA NA 0 0
"778" 160580073 NA NA 0 0
"780" 160860549 38 41 0 0
"782" 160970358 48 51 0 0
"783" 161020069 NA NA 0 0
"784" 161050035 NA NA 0 0
"785" 161130076 NA NA 0 0
"786" 161220258 64 67 0 0
"787" 161280309 29 32 0 0
"788" 161310074 NA NA 0 0
"789" 161310257 NA NA 0 0
"790" 161320370 NA NA 0 0
"791" 161400073 NA NA 0 0
"792" 161540199 NA NA 0 0
"793" 161570256 NA NA 0 0
"794" 161650073 NA NA 0 0
"795" 161880199 29 32 0 0
"796" 161890315 NA NA 0 0
"797" 161920352 NA NA 0 0
"798" 161940037 NA NA 0 0
"799" 162070553 NA NA 0 0
"800" 162090428 NA NA 0 0
"801" 162150073 NA NA 0 0
"802" 162210555 NA NA 0 0
"803" 162250071 60 63 0 0
"804" 162290036 25 28 0 0
"805" 162460373 NA NA 0 0
"806" 162460556 46 49 0 0
"807" 162510251 49 52 0 0
"808" 162600349 NA NA 0 0
"809" 163130809 NA NA 0 0
"811" 163230255 NA NA 0 0
"812" 163310031 NA NA 0 0
"813" 163330489 NA NA 0 0
"814" 163510349 NA NA 0 0
"815" 163530315 NA NA 0 0
"816" 163640057 NA NA 0 0
"817" 163690044 NA NA 0 0
"818" 163750252 NA NA 0 0
"819" 163920558 29 32 0 0
"820" 164110258 NA NA 0 0
"821" 164130420 NA NA 0 0
"823" 164190557 NA NA 0 0
"824" 164350192 NA NA 0 0
"825" 164390553 37 40 0 0
"826" 164420251 32 35 0 0
"827" 164430052 49 52 0 0
"828" 164470610 NA NA 0 0
"829" 164500036 34 37 0 0
"830" 164800030 42 45 0 0
"831" 164890255 NA NA 0 0
"832" 164900355 NA NA 0 0
"833" 165070219 NA NA 0 0
"834" 165130419 NA NA 0 0
"835" 165290314 30 33 0 0
"836" 165302313 NA NA 0 0
"837" 165330441 NA NA 0 0
"838" 165400038 NA NA 0 0
"839" 165490352 NA NA 0 0
"840" 165550030 NA NA 0 0
"841" 165550459 22 25 0 0
"842" 165600356 28 31 0 0
"844" 165940619 NA NA 0 0
"845" 166010315 NA NA 0 0
"846" 166310038 NA NA 0 0
"847" 166490252 76 79 0 0
"848" 166640054 NA NA 0 0
"849" 166710310 NA NA 0 0
"850" 166720309 NA NA 0 0
"851" 166750282 NA NA 0 0
"852" 166840034 NA NA 0 0
"853" 167120030 NA NA 0 0
"854" 167230623 NA NA 0 0
"855" 167310350 NA NA 0 0
"856" 167460311 NA NA 0 0
"857" 167560763 25 28 0 0
"858" 167630351 40 43 0 0
"859" 167810317 28 31 0 0
"860" 168250258 NA NA 0 0
"861" 168350256 NA NA 0 0
"862" 168510668 NA NA 0 0
"863" 168550251 NA NA 0 0
"864" 168750280 NA NA 0 0
"865" 168830066 NA NA 0 0
"866" 168980945 NA NA 0 0
"867" 169060250 NA NA 0 0
"868" 169070249 NA NA 0 0
"869" 169090074 NA NA 0 0
